Version,File,Size,Runtime (seconds)
CUDA,file1000033,235520,166.88468373099977
Optimized CUDA - Shared,file1000033,235520,59.20138686399969
CUDA,file1000041,235520,195.20374691799952
Optimized CUDA - Shared,file1000041,235520,67.41220007300035
CUDA,file1000071,238080,181.74359156099945
Optimized CUDA - Shared,file1000071,238080,63.051056688000244
CUDA,file1000107,238080,156.54418549599995
Optimized CUDA - Shared,file1000107,238080,54.131099552000705
CUDA,file1000196,235520,184.68477883500054
Optimized CUDA - Shared,file1000196,235520,63.970474937999825
CUDA,file1000201,238080,207.16021989399997
Optimized CUDA - Shared,file1000201,238080,72.28462436399968
CUDA,file1000206,238080,181.9668060189997
Optimized CUDA - Shared,file1000206,238080,63.29780989000028
CUDA,file1000229,238080,182.943441249
Optimized CUDA - Shared,file1000229,238080,63.18405211599929
CUDA,file1000243,238080,172.43339164699955
Optimized CUDA - Shared,file1000243,238080,59.74409643600029
CUDA,file1000254,238080,166.8109124370003
Optimized CUDA - Shared,file1000254,238080,57.7236175779999
CUDA,file1000264,238080,187.55799787600063
Optimized CUDA - Shared,file1000264,238080,65.0765160030005
CUDA,file1000277,227840,204.65151933500056
Optimized CUDA - Shared,file1000277,227840,71.50132272599967
CUDA,file1000291,235520,169.26501474500037
Optimized CUDA - Shared,file1000291,235520,58.48812856599943
CUDA,file1000308,238080,186.83344833199953
Optimized CUDA - Shared,file1000308,238080,64.83724677200007
CUDA,file1000389,235520,215.05539341199983
Optimized CUDA - Shared,file1000389,235520,74.37873188699996
CUDA,file1000476,235520,204.62615329300024
Optimized CUDA - Shared,file1000476,235520,70.68011783200018
CUDA,file1000480,238080,171.74070625399963
Optimized CUDA - Shared,file1000480,238080,59.723365525998815
CUDA,file1000591,235520,194.8852866870002
Optimized CUDA - Shared,file1000591,235520,67.37472229099876
CUDA,file1000593,235520,184.66089268500036
Optimized CUDA - Shared,file1000593,235520,63.89317621600094
CUDA,file1000625,235520,194.05233823399976
Optimized CUDA - Shared,file1000625,235520,67.44155292400137
CUDA,file1000635,235520,200.31009376899965
Optimized CUDA - Shared,file1000635,235520,68.90484153100078
CUDA,file1000660,235520,204.69289750700045
Optimized CUDA - Shared,file1000660,235520,70.73167519399976
CUDA,file1000735,204800,143.44016037000074
Optimized CUDA - Shared,file1000735,204800,49.38364404499953
CUDA,file1000748,238080,166.50431740800013
Optimized CUDA - Shared,file1000748,238080,57.83001317599883
CUDA,file1000810,238080,187.38167004399838
Optimized CUDA - Shared,file1000810,238080,65.02958149299957
CUDA,file1000818,235520,184.08091106100073
Optimized CUDA - Shared,file1000818,235520,63.7060579200006
CUDA,file1000842,238080,197.61029166700064
Optimized CUDA - Shared,file1000842,238080,68.290748024001
CUDA,file1000858,235520,169.47250666699983
Optimized CUDA - Shared,file1000858,235520,58.329710134999914
CUDA,file1000899,247040,196.9444987779989
Optimized CUDA - Shared,file1000899,247040,68.66890626500026
CUDA,file1000942,235520,180.2004915489997
Optimized CUDA - Shared,file1000942,235520,61.76045340999917
CUDA,file1001064,235520,194.20005561499966
Optimized CUDA - Shared,file1001064,235520,67.22587144999852
CUDA,file1001077,235520,179.02420749500016
Optimized CUDA - Shared,file1001077,235520,62.21152233600151
CUDA,file1001090,235520,194.95127502299874
Optimized CUDA - Shared,file1001090,235520,67.52961815399976
CUDA,file1001096,238080,176.86219894299938
Optimized CUDA - Shared,file1001096,238080,61.33608542299953
CUDA,file1001140,238080,208.46149459799926
Optimized CUDA - Shared,file1001140,238080,72.02430079799888
CUDA,file1001144,235520,179.79349199800163
Optimized CUDA - Shared,file1001144,235520,62.08993919599925
CUDA,file1001148,238080,166.23460542700013
Optimized CUDA - Shared,file1001148,238080,57.794279622999966
CUDA,file1001168,238080,156.03900603500006
Optimized CUDA - Shared,file1001168,238080,54.26241297699926
CUDA,file1001184,235520,189.44467228100075
Optimized CUDA - Shared,file1001184,235520,65.52230287800012
CUDA,file1001188,238080,177.16225820100044
Optimized CUDA - Shared,file1001188,238080,61.37613813400094
CUDA,file1001191,235520,169.0354853509998
Optimized CUDA - Shared,file1001191,235520,58.47822052000083
CUDA,file1001221,235520,184.79179274299895
Optimized CUDA - Shared,file1001221,235520,63.53259737899862
CUDA,file1001262,235520,189.928409397
Optimized CUDA - Shared,file1001262,235520,65.60219510800016
CUDA,file1001289,235520,204.46211036500063
Optimized CUDA - Shared,file1001289,235520,70.88901343900034
CUDA,file1001339,235520,169.72979121799835
Optimized CUDA - Shared,file1001339,235520,58.530240582998886
CUDA,file1001450,238080,177.40083707600024
Optimized CUDA - Shared,file1001450,238080,61.2100296990011
CUDA,file1001458,235520,209.77201528000114
Optimized CUDA - Shared,file1001458,235520,72.7020035960013
CUDA,file1001533,238080,181.98941226700117
Optimized CUDA - Shared,file1001533,238080,63.26358801399874
CUDA,file1001566,235520,209.66223685800105
Optimized CUDA - Shared,file1001566,235520,72.7446109600005
CUDA,file1001598,238080,156.67512288800026
Optimized CUDA - Shared,file1001598,238080,54.18114198500007
CUDA,file1001687,238080,208.98102897400167
Optimized CUDA - Shared,file1001687,238080,72.31580276300156
CUDA,file1001793,238080,182.3622117599989
Optimized CUDA - Shared,file1001793,238080,63.10329268699934
CUDA,file1001818,238080,177.1218150780005
Optimized CUDA - Shared,file1001818,238080,61.22114470700035
CUDA,file1001843,238080,207.7769768040016
Optimized CUDA - Shared,file1001843,238080,72.38133325799936
CUDA,file1001850,235520,194.6516263270023
Optimized CUDA - Shared,file1001850,235520,67.38889990399912
CUDA,file1001862,235520,189.531756933
Optimized CUDA - Shared,file1001862,235520,65.49978245900274
CUDA,file1001930,235520,204.86667118100013
Optimized CUDA - Shared,file1001930,235520,70.7135263229975
CUDA,file1001997,238080,177.83057528299832
Optimized CUDA - Shared,file1001997,238080,61.45169798999996
CUDA,file1002002,204800,132.26626093099912
Optimized CUDA - Shared,file1002002,204800,45.523227493999
CUDA,file1002067,235520,189.86684090300332
Optimized CUDA - Shared,file1002067,235520,65.57322667100016
CUDA,file1002145,235520,195.44193375500254
Optimized CUDA - Shared,file1002145,235520,67.22122874699926
CUDA,file1002155,238080,181.90379541400034
Optimized CUDA - Shared,file1002155,238080,63.00731339599952
CUDA,file1002159,235520,169.70912853299888
Optimized CUDA - Shared,file1002159,235520,58.60880418499801
CUDA,file1002252,235520,169.93025468999986
Optimized CUDA - Shared,file1002252,235520,58.620328054999845
CUDA,file1002280,238080,177.50553495599888
Optimized CUDA - Shared,file1002280,238080,61.58115296399774
CUDA,file1002340,235520,204.55506297899774
Optimized CUDA - Shared,file1002340,235520,70.80728689800162
CUDA,file1002389,235520,200.39150103700013
Optimized CUDA - Shared,file1002389,235520,69.03800714399767
CUDA,file1002436,235520,189.78403546999834
Optimized CUDA - Shared,file1002436,235520,65.49493548099781
CUDA,file1002451,235520,236.41705987399837
Optimized CUDA - Shared,file1002451,235520,81.532748540998
CUDA,file1002546,235520,215.09302747400216
Optimized CUDA - Shared,file1002546,235520,74.40528709800128
CUDA,file1002570,235520,169.46550660399953
Optimized CUDA - Shared,file1002570,235520,58.59156658000211
Optimized CUDA - Textured,file1000033,235520,55.647180222000316
Optimized CUDA - Textured,file1000041,235520,66.22680574500009
Optimized CUDA - Textured,file1000071,238080,61.30694075300016
Optimized CUDA - Textured,file1000107,238080,52.68024306500001
Optimized CUDA - Textured,file1000196,235520,61.96869504899996
